Rank,Artist,Song,Genre,Year,Lyrics
1,Bob Dylan,Like a Rolling Stone,"Folk Rock,Singer/Songwriter  ",1965,"Once upon a time you dressed so fine
You threw the bums a dime in your prime, didn't you?
People'd call, say, ""Beware doll, you're bound to fall""
You thought they were all kiddin' you
You used to laugh about
Everybody that was hangin' out
Now you don't talk so loud
Now you don't seem so proud
About having to be scrounging for your next meal

How does it feel?
How does it feel
To be without a home
Like a complete unknown
Like a rolling stone?

You've gone to the finest school all right, Miss Lonely
But you know you only used to get juiced in it
And nobody's ever taught you how to live out on the street
And now you're gonna have to get used to it
You said you'd never compromise
With the mystery tramp, but now you realize
He's not selling any alibis
As you stare into the vacuum of his eyes
And say do you want to make a deal?

How does it feel?
How does it feel
To be on your own
With no direction home
A complete unknown
Like a rolling stone?

You never turned around to see the frowns on the jugglers and the clowns
When they all did tricks for you
You never understood that it ain't no good
You shouldn't let other people get your kicks for you
You used to ride on the chrome horse with your diplomat
Who carried on his shoulder a Siamese cat
Ain't it hard when you discover that
He really wasn't where it's at
After he took from you everything he could steal

How does it feel?
How does it feel
To be on your own
With no direction home
Like a complete unknown
Like a rolling stone?

Princess on the steeple and all the pretty people
They're all drinkin', thinkin' that they got it made
Exchanging all precious gifts
But you'd better take your diamond ring, you'd better pawn it babe
You used to be so amused
At Napoleon in rags and the language that he used
Go to him now, he calls you, you can't refuse
When you ain't got nothing, you got nothing to lose
You're invisible now, you got no secrets to conceal

How does it feel
How does it feel
To be on your own
With no direction home
Like a complete unknown
Like a rolling stone?"
2,Nirvana,Smells Like Teen Spirit,Grunge   ,1991,"Load up on guns, bring your friends
It's fun to lose and to pretend
She's over-bored and self-assured
Oh no, I know a dirty word

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido

Yeah, hey, yay

I'm worse at what I do best
And for this gift, I feel blessed
Our little group has always been
And always will until the end

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido

Yeah, hey, yay

And I forget just why I taste
Oh yeah, I guess it makes me smile
I found it hard, it's hard to find
Oh well, whatever, never mind

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido

A denial, a denial
A denial, a denial
A denial, a denial
A denial, a denial
A denial"
3,The Beatles,A Day in the Life,"Art Rock,Progressive Pop,Psychedelic Pop ",1967, 
4,The Beach Boys,Good Vibrations,"Baroque Pop,Progressive Pop,Psychedelic Pop,Sunshine Pop",1966, 
5,Chuck Berry,Johnny B. Goode,Rock & Roll   ,1958,"Deep down in Louisiana close to New Orleans
Way back up in the woods among the evergreens
There stood a log cabin made of earth and wood
Where lived a country boy named Johnny B. Goode
Who never ever learned to read or write so well
But he could play a guitar just like a-ringing a bell

Go go
Go Johnny go!
Go
Go Johnny go!
Go
Go Johnny go!
Go
Go Johnny go!
Go
Johnny B. Goode!

He used to carry his guitar in a gunny sack
Go sit beneath the tree by the railroad track
Oh, the engineer would see him sittin' in the shade
Strummin' with the rhythm that the drivers made
The people passing by, they would stop and say
""Oh my, but that little country boy could play""

Go go
Go Johnny go!
Go
Go Johnny go!
Go
Go Johnny go!
Go
Go Johnny go!
Go
Johnny B. Goode!

His mother told him, ""Someday you will be a man,
And you will be the leader of a big ol' band
Many people comin' from miles around
To hear you play your music when the sun go down
Maybe someday your name'll be in lights
Sayin' 'Johnny B. Goode tonight!'""

Go go
Go Johnny go!
Go go go Johnny go!
Go go go Johnny go!
Go go go Johnny go!
Go
Johnny B. Goode!"
6,Aretha Franklin,Respect,Southern Soul   ,1967,"What you want
Baby, I got it
What you need
Do you know I got it?

All I'm askin'
Is for a little respect
When you come home
(just a little bit)
Hey, baby
(just a little bit)
When you get home
(just a little bit)
Mister
(just a little bit)

I ain't gonna do you wrong
While you're gone
Ain't gonna do you wrong
'Cause I don't wanna

All I'm askin'
Is for a little respect
When you come home
(just a little bit)
Baby
(just a little bit)
When you get home
(just a little bit)
Yeah
(just a little bit)

I'm about to give you all of my money
And all I'm askin' in return, honey
Is to give me my propers
When you get home

(just a, just a, just a, just a)
Yeah, baby
(just a, just a, just a, just a)
When you get home
(just a little bit)
Yeah
(just a little bit)

Ooh, your kisses
Sweeter than honey
And guess what?
So is my money

All I want you to do for me
Is give it to me when you get home
(re, re, re ,re)
Yeah, baby
(re, re, re ,re)
Whip it to me
(respect, just a little bit)
When you get home, now
(just a little bit)

R-E-S-P-E-C-T
Find out what it means to me
R-E-S-P-E-C-T
Take care, TCB

Oh (sock it to me, sock it to me
Sock it to me, sock it to me)
A little respect
(sock it to me, sock it to me, sock it to me, sock it to me)
Whoa, babe
(just a little bit)
A little respect
(just a little bit)

I get tired
(just a little bit)
Keep on tryin'
(just a little bit)
You're runnin' out of foolin'
(just a little bit)
And I ain't lyin'
(just a little bit)

(re, re, re, re) 'spect
When you come home
(re, re, re, re)
Or you might walk in
(respect, just a little bit)
And find out I'm gone
(just a little bit)
I got to have
(just a little bit)"
7,The Ronettes,Be My Baby,"Brill Building,Girl Group  ",1963, 
8,Marvin Gaye,What's Going On,Soul   ,1971,"Hey, hey-hey
Hey, what's happenin'?
Hey, brother, what's happenin'?
Boy, this is a groovy party (Hey, how you doin'?)
Man, I can dig it
Yeah, brother, solid, right on
What's happenin'?
Hey, man, what's happening?
Woo
Everything is everything
We're gonna do a get down today, boy, I'll tell ya

Mother, mother
There's too many of you crying
Brother, brother, brother
There's far too many of you dying
You know we've got to find a way
To bring some lovin' here today - yeah

Father, father
We don't need to escalate
You see, war is not the answer
For only love can conquer hate
You know we've got to find a way
To bring some lovin' here today, oh (Oh)

Picket lines (Sister) and picket signs (Sister)
Don't punish me (Sister) with brutality (Sister)
Talk to me (Sister), so you can see (Sister)
Oh, what's going on (What's going on)
What's going on (What's going on)
Yeah, what's going on (What's going on)
Oh, what's going on

(In the meantime, right on, baby)
Woo (Right on, baby), woo
Ah-ya-ya-ya-ya-ya-ya, ya-ya-ya-ya-ya
Woo (Right on, baby, right on)
Right on
Ah-ya-ya-ya-ya-ya-ya, ya-ya-ya-ya-ya

Mother, mother, everybody thinks we're wrong
Oh, but who are they to judge us
Simply because our hair is long
Oh, you know we've got to find a way
To bring some understanding here today
Oh

Picket lines and picket signs
Don't punish me with brutality
Talk to me
So you can see
What's going on
Yeah, what's going on
Tell me what's going on
I'll tell you what's going on - uh
Right on baby
Right on baby"
9,Marvin Gaye,I Heard It Through the Grapevine,Motown Sound   ,1968,"I bet you're wonderin' how I knew
'Bout your plans to make me blue
With some other guy you knew before
Between the two of us guys
You know I loved you more
It took me by surprise I must say
When I found out yesterday
Don't you know that I heard it through the grapevine
Not much longer would you be mine
Oh I heard it through the grapevine
Oh I'm just about to lose my mind

Honey, honey yeah.
I heard it through the grapevine
Not much longer would you be mine baby

I know a man ain't supposed to cry
But these tears I can't hold inside
Losin' you would end my life you see
'Cause you mean that much to me
You could have told me yourself
That you loved someone else
Instead I heard it through the grapevine
Not much longer would you be mine
Oh, I heard it through the grapevine
And I'm just about to lose my mind

Honey, honey yeah
I heard it through the grapevine
Not much longer would you be mine, baby

People say believe half of what you see
Some and none of what you hear
But I can't help but be confused
If it's true please tell me dear
Do you plan to let me go
For the other guy you loved before?

Don't you know I heard it through the grapevine
Not much longer would you be mine, baby yeah
I heard it through the grapevine
I'm just about to lose my mind
Honey, honey, yeah
I heard it through the grapevine,
Not much longer would you be mine, baby yeah

Honey, honey, yeah
I heard it through the grapevine,
Not much longer would you be mine, baby yeah yeah
I heard it through the grapevine,
Not much longer would you be mine, baby yeah yeah"
10,The Rolling Stones,(I Can't Get No) Satisfaction,"Garage Rock,Mod  ",1965, 
